Ticker,Beta 09/2012,Beta 09/2022,Beta 12/2008,Beta 9/2008
NXPI,3.6129999161,1.4148999453,#N/A,#N/A
LULU,2.3931999207,1.2970999479,2.1419000626,1.8343000412
AMD,2.212100029,1.9441000223,2.4403998852,2.5506999493
SIRI,2.1154000759,0.9240999818,2.532900095,3.0197000504
ADSK,2.1115000248,1.462299943,2.3257000446,2.1547999382
ALGN,2.0641000271,1.7704000473,2.1884999275,2.320100069
MELI,1.9263999462,1.617200017,3.6473999023,4.736700058
BIDU,1.8035999537,0.7937999964,2.2486999035,2.6020998955
KLAC,1.7515000105,1.288599968,1.8039000034,1.8142000437
FTNT,1.7108999491,1.1840000153,#N/A,#N/A
ISRG,1.6188999414,1.2718000412,1.828799963,1.2416000366
NVDA,1.5923000574,1.6352000237,2.3954999447,2.9969000816
ADBE,1.5621999502,1.1105999947,1.8063000441,1.554700017
ASML,1.5554000139,1.2653000355,1.4305000305,2.388299942
CDNS,1.5140000582,1.0908999443,1.9478000402,1.9874999523
MAR,1.4766000509,1.6125999689,1.2122000456,0.9350000024
EBAY,1.4703999758,1.1836999655,1.9618999958,2.0099999905
PCAR,1.4660999775,0.8730999827,1.4757000208,1.527099967
LRCX,1.356400013,1.3147000074,1.700600028,1.8463000059
HON,1.3458000422,1.0635999441,1.4623999596,1.4973000288
MU,1.2891999483,1.2785999775,1.0649000406,1.7914999723
CSCO,1.2539999485,0.9750999808,1.3154000044,1.3964999914
CSX,1.2381999493,1.209100008,1.1326999664,1.0260000229
CTSH,1.2315000296,1.1021000147,1.5130000114,1.9758000374
EA,1.2243000269,0.8407999873,1.8976000547,1.6665999889
SBUX,1.2211999893,0.929799974,1.1478999853,1.0786999464
AAPL,1.2161999941,1.1941000223,2.0438001156,2.6178998947
BKNG,1.2124999762,1.2513999939,1.057199955,1.0015000105
AMAT,1.206799984,1.5045000315,1.0619000196,1.067800045
MRVL,1.206799984,1.3789999485,2.0632998943,2.1965999603
SWKS,1.2015999556,1.1618000269,1.7578999996,1.8086999655
ANSS,1.1775000095,1.2673000097,1.4732999802,1.385800004
BMRN,1.1303999424,0.3269999921,1.6450999975,1.2534999847
IDXX,1.1100000143,1.121999979,1.1829999685,0.4742000103
ADI,1.1066999435,1.0945999622,1.2774000168,1.2124999762
TXN,1.0913000107,0.9797999859,1.2827999592,1.7057000399
DXCM,1.0899000168,1.0342999697,2.5422999859,2.4084000587
MCHP,1.0882999897,1.5970000029,1.2041000128,1.3389999866
CMCSA,1.0867999792,0.9742000103,0.7781999707,0.8532000184
GOOGL,1.0859999657,1.097200036,1.6317000389,1.9997999668
NTES,1.0823999643,0.4532999992,0.9639999866,0.6374999881
REGN,1.067299962,0.3134000003,1.5018999577,1.424200058
INTC,1.0616999865,0.6747999787,1.3284000158,1.5944000483
FISV,1.0507999659,0.8174999952,1.3688999414,1.1936000586
SGEN,1.0326999426,0.6021999717,1.3188999891,1.9457000494
MSFT,0.9973999858,0.932099998,0.9926000237,0.8822000027
QCOM,0.9871000051,1.2039999962,1.1331000328,1.4684000015
WBA,0.9871000051,0.5970000029,0.6973000169,0.6140999794
FAST,0.9545999765,1.2696000338,0.9477999806,0.9276000261
CTAS,0.9136000276,1.4487999678,0.9800999761,1.2587000132
AVGO,0.9124000072,1.0882999897,#N/A,#N/A
TMUS,0.9014000297,0.4758000076,0.1323000044,0.3285999894
AMZN,0.9006999731,1.2457000017,2.1559998989,2.2727999687
PAYX,0.8762999773,0.9832000136,0.7056999803,0.7914000154
ODFL,0.8644999862,0.9951999784,0.2799000144,0.3763999939
BIIB,0.8345999718,0.3876999915,0.7142999768,0.5307999849
VRSN,0.7807999849,0.9873999953,1.345600009,1.630300045
INTU,0.7491000295,1.1416000128,1.0210000277,0.7991999984
KDP,0.725300014,0.5934000015,#N/A,#N/A
ADP,0.7113000154,0.8136000037,0.5536000133,0.573300004
CHTR,0.7042000294,1.0139000416,#N/A,#N/A
ROST,0.7001000047,0.9879999757,0.7893999815,0.5806000233
COST,0.6893000007,0.6557999849,0.7580000162,0.7498000264
NFLX,0.6507999897,1.2784999609,1.4703999758,2.1730000973
AZN,0.6348999739,0.4386000037,0.4289999902,0.5177999735
SNPS,0.628099978,1.1749000549,1.2022999525,1.5612000227
MTCH,0.6090000272,1.1880999804,0.9643999934,1.4763000011
CPRT,0.5892999768,1.1146999598,1.4065999985,1.967599988
ILMN,0.5767999887,1.1024999619,1.1699999571,0.4548000097
ATVI,0.5473999977,0.5238000154,1.182000041,1.4198000431
MDLZ,0.5238999724,0.611800015,0.614199996,0.503099978
EXC,0.5024999976,0.5852000117,0.719900012,0.7243000269
AEP,0.4742999971,0.359100014,0.7256000042,0.6761000156
PEP,0.4648000002,0.5557000041,0.575699985,0.2107000053
GILD,0.4499999881,0.3776000142,0.543299973,0.6276999712
MNST,0.4408000112,0.9283999801,1.4335000515,1.5309000015
AMGN,0.4250000119,0.5827000141,0.4415999949,0.6104999781
ORLY,0.3874999881,0.9914000034,0.7792000175,1.1753000021
TSLA,0.3849000037,2.1066000462,#N/A,#N/A
XEL,0.3522999883,0.3465000093,0.5580999851,0.6126000285
DLTR,0.3474999964,0.6830999851,0.4623000026,1.0485999584
VRTX,0.3325000107,0.4959999919,1.0369999409,0.8087999821
VRSK,0.1336999983,0.8391000032,#N/A,#N/A
PANW,0.0164999999,1.24150002,#N/A,#N/A
SPLK,0.0020000001,1.3517999649,#N/A,#N/A
META,-0.1001000032,1.4045000076,#N/A,#N/A
